,sentences,users,date,sentiment_score
0,"good, home, come, good, standard, feature, facility",propertymalaysia,"Apr 19 2020, 01:01 PM",0.7003
1,"house, suitabke, provide, niche, feature, project",mingyew,"Apr 30 2020, 10:10 PM",0.0
2,"thank, clear, compare, original, statement, ..., floor, plan, detail, sell, price, etc",Ekash,"May 1 2020, 12:00 AM",0.7506
3,"thank, interest!the, current, website, upgrade, complete, information, soon, register, send, information, soon, ready, indicative, selling, price, start, rm450, sqftfreeholdunit, size, 1100, soft, 1200, sqft3, bedroom, 2, bath, bath, large, wheelchair, friendly, bathroom, wheelchair, turn, radius, floor, drop, minimum, small, ramp, test, wheel, chair, door, width, minimum, 900, mm, clear, unit, come, fire, sprinkler, additional, safety, clubhouse, communal, activitieswe, indoor, multi, sport, hall, good, 3, badminton, court, 1, size, basket, ball, court.and, facility, thank",suntrack,"May 1 2020, 07:52 AM",0.9299
4,"wrongly, early, comment, delete, link, project, website, delete",Ekash,"May 1 2020, 12:19 PM",0.0
5,"sure, happen, post, delete, ..",suntrack,"May 1 2020, 12:39 PM",0.3182
6,"boss, pay, sponsor, fee, ..., lol",mingyew,"May 1 2020, 01:14 PM",0.34
7,"maybe, project, old, folk, delete, ..., website, picture, suggestion, good, stress, project, suitable, old, gen, young, gen, picture, mix, ..., 500k, 1.2k, sf, okay, ..., aiyaa, maybe, ....",Ekash,"May 1 2020, 05:22 PM",0.25
8,"think, post, delete, early, admin, website, link, let, introduce, bit, tuai, residence, tuai, residence, new, investment, opportunity, unique, home, build, suitably, rent, grow, retiree, age, malaysian, market, klang, valley, grow, population, retiree, senior, citizen, aspiration, independent, healthy, active, lifestyle, kuala, lumpur, selangor, currently, untapped, market, 675,000, ageing, malaysians, age, 60, confident, long, term, outlook, silver, economy, provide, service, product, age, malaysians, tuai, residence, present, new, opportunity, new, untapped, demand, property, market, design, meet, rise, lifestyle, health, requirement, age, malaysians, unfortunately, age, malaysians, limit, access, end, financing, loan, purchase, new, home, suitable, lie, opportunity, investor, acquire, sound, investment, tuai, residence, freehold, condominium, deliver, sustainable, return, long, term, lease, age, malaysians, unique, value, proposition, untapped, market, ageing, malaysians, offer, strong, alternative, traditional, real, estate, investment, saturate, supply, malaysia, thank",suntrack,"May 1 2020, 11:13 PM",0.9682
9,"okie, aware, aim, age, market, ..., skip, ...",Ekash,"May 2 2020, 12:35 AM",0.0
10,"ekashthank, share, frank, opinion, skip, project, target, age, market, clarification, project, open, generation, multi, generation, condo, appreciate, share, insight, skip, age, market, look, stay?you, prefer, live, senior, resident, you?the, age, market, small, consider?thank",suntrack,"May 2 2020, 07:50 AM",0.7677
11,"sorry, post, early, yellow, highlight, turn, hard, read, thank",suntrack,"May 2 2020, 07:51 AM",0.4939
12,"imagine, buy, stay, surround, 80%-90, old, folk, manage, health, property, payment, suddenly, luck, .., old, folk, bad, community, ratio, high, convincing, ..., pick, normal, condo, ratio, 25, ..., ...",Ekash,"May 2 2020, 08:36 AM",0.296
13,"concept, development, ..., end, day, 80, occupy, old, folk, ..., know, ..., way, ..., current, cruel, market, competition, developer, marketing, agency, creative, concept, ..., sell, brick, mortar, ..., dream, ..., ..., concept, marketing, gimmick, ..., tod, mall, soho, etc, saturate, market, ...., age, concept, ..., maybe, later, come, lgbt, friendly, concept, know, ...",bigman,"May 2 2020, 12:29 PM",0.5106
14,"ekashthank, share, opinion, think, high, 90, senior, resident, occupy, community, hope, create, independent, active, healthy, lifestyle, senior, resident, care, office, community, manager, site, provide, assistance, resident, young, old, luck, benefit, young, child, environment, senior, resident, hang, community, day, especially, young, parent, work, article, research, benefit, intergenerational, community, scandinavia, japan, close, home, singapore, young, resident, activity, old, club, house, simply, presence, adult, chit, chat, character, building, conversation, senior, folk, course, preference, bring, parent, live, tuai, residence, hi, bigman, point, fair, valid, thank, share, thought, suddenly, change, concept, marketing, gimmick, company, develop, product, year, stand, vision, build, suitable, home, generation, ability, project, simply, claim, build, senior, age, place, feature, live, concept, senior, live, project, follow, unique, features:1, care, office, site, train, nurse, carer, site, community, manager, organise, activities.2, universal, design, wheel, chair, friendly, drop, lobby, way, toilet, condo, unit3, maximum, fire, protection, sprinkler, inside, condo, fire, refuge, area, widened, stair, stretcher, stretcher, lift, place, safe, young, old.4, communal, space, clubhouse, 6, meeting, room, multifunction, room, resident, lounge, communal, dining, child, play, room5, multi, sports, hall, 3, indoor, badminton, 1, size, basketball.6, link, bridge, club, house, future, retail, future, retail, convenient, amenity, senior, resident, children.many, visit, www.tuai.my, know, haha, .., right, retirement, village, world, friendly, lgbt, community, thank",suntrack,"May 2 2020, 01:43 PM",0.9926
15,"feel, new, kind, project, .., benchmark, project, ecoworld, parque, residence",mingyew,"May 4 2020, 09:31 AM",0.5267
16,"mingyewthank, sharing!ye, learn, thing, tuai, residence, push, bar, high, create, truly, multi, generation, homes.please, let, share, bit, multi, generation, homes"", exclusive, old, people, development, australians, think, exclusive, old, people, retirement, village, feel, malaysians, skip, phase, exclusivity, forward, inclusive, community, generation, ability, welcome, thank",suntrack,"May 4 2020, 10:38 AM",0.9359
17,"high, rise, residence, 500k, setia, alam",destiny016,"May 6 2020, 01:01 AM",0.0
18,"project, inside, eco, ardence",darco33,"May 6 2020, 08:01 PM",0.0
19,"hi, darco33thank, question, literally, tuai, residence, locate, right, eco, ardence, setia, alam, come, nkve, setia, alam, toll, turn, leave, eco, ardence, pass, ardence, lab, lake, park, left, reach, round, 12, o, clock, straight, 500, m, reach, site, left, site, locate, eco, ardence, entrance, statement, feel, like, eco, ardence, road, landscape, connect, seamlessly, eco, ardence, tuai, residence, great, location, resident, enjoy, amenity, eco, ardence.and, rm450, sqft, freehold, sound, like, good, deal, register, website, thank",suntrack,"May 6 2020, 09:00 PM",0.9601
20,"hi, opposite, eco, ardence, commercial, area",sjteh,"May 6 2020, 09:03 PM",0.0
