,sentences,users,date,sentiment_score
0,"clay, brick, cement, brick, project, cement, brick, project, want, buy",Z1000,"Nov 11 2013, 08:28 PM",0.0772
1,"register, pm",forsale0121,"Nov 11 2013, 08:28 PM",0.0
2,"dude, ramble, brick, forum, cement, brick, bad",guilty25,"Nov 11 2013, 08:39 PM",-0.5423
3,"ppl, know, tat, project, 1, mil, cement, brick, buyer, know, honest, low, profile, thank",Z1000,"Nov 11 2013, 08:41 PM",0.5719
4,"seriously, don, understan, nessasary, u, thread, huu, haaa, clay, brick, vs, cement, brick, ...., u, thread, talkin, tis, ...., think, peri, peri, gor, aldy, explain, ...., construction, industry, guess, right, man, clarify, ...., kinda, feed, ur, comment, flooding, thread, ...",shadowofevil,"Nov 11 2013, 10:16 PM",-0.1779
5,"come, guy, ioi, properties, project, brick, ....",TSaccetera,"Nov 11 2013, 10:26 PM",0.0
6,"hope, ioi, use, red, brick.it, matter",tikaram,"Nov 11 2013, 10:36 PM",0.4588
7,"rm500, 550psf, freehold, size, 843, sq, ft, 1,388, sq, ft",TSaccetera,"Nov 11 2013, 11:03 PM",0.1779
8,"shadow, bo, ...., nice, pricing, ..., launch, mate, ..., info, plz, p",shadowofevil,"Nov 12 2013, 10:43 AM",0.4767
9,"shadow, bo, ...., nice, pricing, ..., launch, mate, ..., info, plz, p",shadowofevil,"Nov 12 2013, 10:51 AM",0.4767
10,confirm,nakedtruth,"Nov 12 2013, 11:36 AM",0.0
11,"1st, sand, brick, cement, brick, ...., hmm, ..., clio, condo, price, different, ioi, resort, condos, puteri, ...., close, mall",BEANCOUNTER,"Nov 12 2013, 11:41 AM",0.0
12,"think, use, brick, pour, concrete, mold",puchongite,"Nov 12 2013, 11:46 AM",0.0
13,"puteri, palma, currently, low, occupancy, maybe, developer, unit, availableioi, need, sell, master, plan, ioi, resort, cityya, walk, distance, mall",CMW123,"Nov 12 2013, 12:08 PM",-0.2732
14,"thank, info, yea, interested, 500psf, 1388sf, 5, 8, rebate",Kvsual,"Nov 16 2013, 10:21 AM",0.6369
15,"dear, bro, possible, photo, wording, left",Kvsual,"Nov 16 2013, 10:24 AM",0.3818
16,"look, forward, hope, wil, launch, asap, hopefully, face, beautiful, golf, course, near, ioi, city, mall",Kvsual,"Nov 16 2013, 10:51 AM",0.8591
17,"tot, u, look, landed, now?is, ioi, resortcity, consider, putrajaya",Kvsual,"Nov 16 2013, 11:16 AM",0.0
18,"nice, interesting, area, finally",maldiniho,"Nov 17 2013, 09:44 AM",0.6705
19,"ppl, kajang, south, cheras/, puchong, south, seri, kembangan, draw, mall, single, race, dominance, opinion",maldiniho,"Nov 17 2013, 10:08 AM",0.2023
20,"register, project",dcon,"Nov 17 2013, 01:08 PM",0.0
21,"like, know, register, website, general",ftan,"Nov 17 2013, 07:24 PM",0.3612
22,"mall, opening?parkson, anchor, tenant, ...",CMW123,"Nov 17 2013, 07:31 PM",0.0
23,"price, high, low, occupancy, rate, puteri, palma, putrajaya, .., rm, 500+psf, .., option, investor, consider, .., future, believe, place, .., depend, reason, purchasing, :-)",optimus28,"Nov 17 2013, 11:25 PM",0.0516
24,"picture, leaflet",TSaccetera,"Nov 17 2013, 11:51 PM",0.0
25,"do!thank, good, sir",xemse89,"Nov 18 2013, 08:49 AM",0.4926
26,"sale, office",kamilnu,"Nov 20 2013, 03:23 PM",0.0
27,"update, project",ESBI_E,"Nov 22 2013, 01:27 PM",0.0
28,"registration, send, property.marketingirc@ioigroup.com, .as, size, 4, size, approximately, 843, 970, 1,142, 1,388, sq, ft, expect, launch, april, 2014",blackfuzzy,"Nov 23 2013, 04:52 PM",0.0
29,"puchong, address, putrajaya, .., rm, 650psft, high, area, opinion, leasehold, lagi",optimus28,"Nov 25 2013, 09:04 AM",0.0
30,"clio, residences, leasehold, confirm",Kvsual,"Nov 25 2013, 02:11 PM",0.0
31,"puteri, palma, freehold, ..., clio, residence, same?http://www.propwall.my, putrajaya, puteri_palma_1",CMW123,"Dec 2 2013, 02:31 PM",0.1779
32,"usually, look, advertisement, material, know, fh, becoz, fh, super, big, size, fh, word, bad, image, accetera, capture, entire, layout",maldiniho,"Dec 2 2013, 08:52 PM",0.1027
33,"dev, putrajaya, address, think, putrajaya, kajang, puchong, sri, kembangan, ciber, ...., middle, location, haaaa, ..., everytime, pass, m, blurrrrrrr",MrHunter,"Dec 4 2013, 07:37 PM",0.0
34,"technically, mpsj, bit, weird",maldiniho,"Dec 4 2013, 11:30 PM",-0.1779
35,"friend, bartholomew, voon, fb",TSaccetera,"Dec 5 2013, 12:56 PM",0.4939
36,register,dcon,"Dec 5 2013, 07:08 PM",0.0
37,,rongfu,"Dec 16 2013, 09:48 AM",0.0
38,"structure, wave, like, form, crumple, leaflet",maldiniho,"Dec 17 2013, 04:47 PM",0.3612
39,"leaflet, crumple, lah, fin, wavery, ..., mean, unit, wavery, closely",TSaccetera,"Feb 5 2014, 11:45 AM",0.0
40,"nice, ....., eye, catch, high, rise, unlike, uninspire, ytl, capers, fennels, radical, design",maldiniho,"Feb 6 2014, 10:15 AM",0.4215
